,Keywords,confidence,Date Start,Description of measure implemented,Implementing State/Province,Country,Source
1872,coronavirus education activities,,2020-03-21,"People over 70, the chronically ill, health professionals and security and protection and rescue forces, armed forces and people who provide social assistance have priority in commercial establishments, the Government decreed .",,Portugal,"The Portugal News (Media, https://www.theportugalnews.com/news/priority-at-supermarkets-for-key-people/53462"
1878,coronavirus education activities,,2020-06-03,health measurments against the spread of coronavirus on social media,,Qatar,"Ministry of Education (Government, http://www.edu.gov.qa/Ar/Media/News/Pages/NewsDetails.aspx?NewsID=12471"
1879,international travel ban - risk countries,,2020-03-14,"tourist visas on arrival for citizens from France, Germany, Spain and Italy are suspended",,Qatar,"Government (Government, https://www.gco.gov.qa/ar/2020/03/14/government-communications-office-statement-regarding-the-extended-temporary-travel-restrictions-from-designated-countries/"
1883,limited nonessential business closure,,2020-03-18,all non-essentils and public gatherings/social events ,,Qatar,"US Embassy of Qatar (Government, https://qa.usembassy.gov/covid-19-information-2/"
1887,international travel ban - risk countries,,2020-09-03,"Airlines may not board foreign passengers from Italy, China, Iran or South Korea on connecting flights to Romania.",,Romania,"US embassy (Government, https://ro.usembassy.gov/covid-19-information/"
1888,state of emergency,,2020-03-16,,,Romania,"US Embassy of Romania (Government, https://ro.usembassy.gov/covid-19-information/"
1890,hospital specialisation - partial,,2020-03-15,"Epidemiological investigation during 2week quarantine period for those meeting ""close contact"" criteria.",,Romania,"US Embassy of Romania (Government, https://ro.usembassy.gov/covid-19-information/"
1891,international travel ban - risk countries,,2020-03-22,"land borders with: Bulgaria, Hungary, Moldova and Ukraine.",,Romania,"International SOS (Government, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS"
1892,limited nonessential business closure,,2020-03-22,"No more than 3 people who do not live together, all non essentials, only leave house for necessary goods/services, and short trips outdoors for physcial activity etc.",,Romania,"Romanian government  (Government, https://stirioficiale.ro/informatii/ordonanta-militara-nr-2-din-21-03-2020-privind-masuri-de-prevenire-a-raspandirii-covid-19"
1894,international travel ban - risk countries,,2020-03-22,"non-Romanian citizens are prohibited from entering the country except as part of a well defined transit itinerary, with some exceptions, including diplomats.",,Romania,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS"
1895,blanket curfew - no symptoms,,2020-03-22,"A curfew is in place between 22.00 and 06.00. The purpose of movement must be documented with a letter from the employer or the individual’s statement under oath. The statement must include the individual’s name, date of birth, address, place of work, reason for movement, date of statement and signature. ",,Romania,"US Embassy  (Government, https://ro.usembassy.gov/covid-19-information/"
1897,international travel ban - risk countries,,2020-03-15,"Banned entry of non-residents (except airline crew and official delegations) into Russia from China, South Korea, Italy and Iran.",,Russia,"UK Government Travel Advice (Government, https://www.gov.uk/foreign-travel-advice/russia"
1901,international travel ban - risk countries,,2020-03-16,Borders will be closed to all foreign nationals until May,,Russia,"Russia Today (Media, https://www.rt.com/russia/483270-russia-entry-foreign-nationals/"
1902,international travel ban - risk countries,,2020-03-13,"Temporary suspension of visa for Italians with diplomatic, business and humanitarian exceptions.",,Russia,"Ministry of Foreign Affairs - Italy (Government, http://www.viaggiaresicuri.it"
1903,international travel ban - risk countries,,2020-03-18,"Ban on all Foreign Travellers into Russia (Until at least 1 may) *except: citizens, diplomatic staff, international truck drivers, airline crews and existing visa holders entering Russia due to the death of a close relative.",,Russia,"international SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS"
1906,hospital specialisation - partial,,2020-03-21,"All the centers of hygiene and epidemiology of Rospotrebnadzor in Russia are provided with diagnostic test systems for detecting a new coronavirus,",,Russia,"Russian Federation Government (Government, https://www.rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14085"
1907,international travel ban - risk countries,,2020-03-24,CIS citizens as well as those who live in the breakaway separatist regions of Abkhazia and South Ossetia are exempted from the travel ban from 24 March.,,Russia,"International SOS (Government, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS"
1913,international traveller screening - risk countries,,2020-03-14,,,Rwanda,"US Embassy  (Government, https://rw.usembassy.gov/health-alert-covid-19-information/"
1915,international traveller screening - risk countries,,2020-02-27,"No cases at this time, but Rwanda introduced detection at borders.",,Rwanda,"Rwanda Biomedical Center (RBC) (Government, https://rbc.gov.rw/fileadmin/user_upload/bulletin/2020/weekely%20bulletin%20coronavirus2.pdf"
1916,hospital specialisation - partial,,2020-02-27,,,Rwanda,"Rwanda Biomedical Center (RBC) (Government, https://rbc.gov.rw/fileadmin/user_upload/bulletin/2020/weekely%20bulletin%20coronavirus2.pdf"
1917,coronavirus education activities,,2020-02-27,"Awareness campaigns using radio, TV, meetings, social media channels, SMS, and operated numbers. ",,Rwanda,"Rwanda Biomedical Center (RBC) (Government, https://rbc.gov.rw/fileadmin/user_upload/bulletin/2020/weekely%20bulletin%20coronavirus2.pdf"
1918,hospital specialisation - partial,,2020-06-03,PM addresses the people of Rwanda,,Rwanda,"Office of the Prime Minister (Government, https://rbc.gov.rw/fileadmin/user_upload/annoucement/Public%20Notice%20from%20the%20Office%20of%20the%20Prime%20Minister%20on%20Coronavirus%20Disease%202019.pdf"
1919,international traveller screening - risk countries,,2020-08-03,All travelers arriving at all points of entry will be screened. ,,Rwanda,"Rwanda MoH (Government, https://rbc.gov.rw/fileadmin/user_upload/guide/Instructions%20on%20Covid-19.pdf"
1922,risk communication,,2020-03-15,,,Rwanda,"Rwanda MoH (Government, https://www.rbc.gov.rw/fileadmin/user_upload/guide/CV%20case%202%20statement%20v2.pdf"
1926,blanket curfew - no symptoms,,2020-03-21,"Announcement of lockdown for the country of Rwanda for a period of 2 weeks. Preventative measures for the next 2 weeks: non-essential movement outside the home is not permitted, all employees shall work from home except those providing essential services, non-essential shops and markets are closed, all bars are closed, and motos/restaurants/cafes may only provide take-away/delivery services.",,Rwanda,"Rwanda MoH (Government, https://www.rbc.gov.rw/fileadmin/user_upload/guide/announcement%20on%20enhanced%20COVID-19%20prevention%20measures.pdf"
1927,international travel ban - risk countries,,2020-03-20,This includes internal borders between cities or regions of the country. ,,Rwanda,"Rwanda MoH (Government, https://www.rbc.gov.rw/fileadmin/user_upload/annoucement/CV%20update%2020%20Mar%20Eng.pdf"
1929,"domestic travel limitation, domestic traveller quarantine, domestic travel ban",,2020-03-23,"travel between cities and districts is suspended, and unnecessary movements outside of home are not permitted. ",,Rwanda,"Rwanda MoH (Government, https://www.rbc.gov.rw/fileadmin/user_upload/annoucement/Update%20on%20COVID-19%20Coronavirusi%2020%20march%202020.pdf"
1931,risk communication,,2020-03-14,General recommendations from the Govt,,Samoa,"Ministry of Health (Government, http://www.samoagovt.ws/2020/03/ministry-of-health-coronavirus-covid-19-update-14-march-2020/"
1932,international traveller screening - risk countries,,2020-06-03,,,Samoa,"WHO (UN, https://www.who.int/samoa/news/detail/09-03-2020-who-helps-samoa-and-tokelau-to-prepare-for-covid-19"
1935,blanket curfew - no symptoms,,2020-03-20,"All persons of the age of 60 and above are to remain at home and must not move out and about in public, unless he or she is seeking medical attention at any health facility.",,Samoa,"Samoa Govt (Government, http://www.samoagovt.ws/2020/03/state-of-emergency-declared/"
1937,limited nonessential business closure,,2020-03-20,The operation of public transport such as buses and vans that carry more than 5 people are prohibited.,,Samoa,"Samoa Govt (Government, http://www.samoagovt.ws/2020/03/state-of-emergency-declared/"
1938,international travel ban - risk countries,,2020-03-20,"All international travelers, travelling to Samoa are prohibited from entering Samoa unless: a) the traveler is a returning citizen or resident of Samoa; and (b) that returning resident or citizen has undergone a has undergone a COVID-19 test 5 days before entering Samoa",,Samoa,"Samoa Govt (Government, http://www.samoagovt.ws/2020/03/state-of-emergency-declared/"
1940,limited nonessential business closure,,2020-03-20,Public buses ordered to cease operation,,Samoa,"Samoa Govt (Government, http://www.samoagovt.ws"
1942,international travel ban - risk countries,,2020-03-21,"All international travelers, travelling to Samoa are prohibited from entering Samoa unless:
(a)the traveler is a returning citizen or resident of Samoa; and
(b)that returning resident or citizen has undergone a COVID-19 test 5 days before entering Samoa.",,Samoa,"Samoa Govt (Government, http://www.samoagovt.ws"
1943,limited nonessential business closure,,2020-03-23,"Partial shut-down of non-essential services but essential services will remain open. No adjustment should be made to an employee’s salary as a result of the above changes.
2. CEOs should make determinations under their special powers to suspend or defer government programs that bring together more than 5 people in one place;
3. All Ministries to encourage the elevated use of telecommunication or social media means to respond to all customer enquiries and to reduce the movement of the general public",,Samoa,"Samoa Govt (Government, http://www.samoagovt.ws"
1945,economic stimulus,,2020-03-23,Wholesalers and retailers advised to avoid unnecessary price increases of goods and products. Customers are advised to report any unreasonable price increases. ,,Samoa,"Samoa Govt (Government, http://www.samoagovt.ws"
1947,international traveller screening - risk countries,,2020-12-03,all passengers must fill out a health declaration form upon arrival,,Saudi Arabia,"Saudi Airline (Government, https://www.saudia.com/experience/about-us/corporate-communication/press-releases-and-news/announcement/updates+due+to+coronavirus"
1949,international travel ban - risk countries,,2020-12-03,"all travelers arriving from Sudan, Ethiopia, South Sudan, Somalia, Kenya, Djibuti, Eritrea are banned from entry",,Saudi Arabia,"Saudi Airline (Government, https://www.saudia.com/experience/about-us/corporate-communication/press-releases-and-news/announcement/updates+due+to+coronavirus"
1950,coronavirus education activities,,2020-03-14,the government calls upon its citizens and residents to avoid gatherings and follow preventive safety measures,,Saudi Arabia,"Ministry of Health (Government, https://www.moh.gov.sa/en/Ministry/MediaCenter/News/Pages/News-2020-03-14-002.aspx"
1953,international travel ban - risk countries,,2020-12-03,"all travelers arriving from Phillipins, India, Pakistan, Sri Lanka, Indonesia are banned from entry",,Saudi Arabia,"Saudi Airline (Government, https://www.saudia.com/experience/about-us/corporate-communication/press-releases-and-news/announcement/updates+due+to+coronavirus"
1956,international travel ban - risk countries,,2020-10-03,"all travelers arriving from Oman, Spain, Germany, France, Turkey are banned from entry",,Saudi Arabia,"Saudi Airline (Government, https://www.saudia.com/experience/about-us/corporate-communication/press-releases-and-news/announcement/updates+due+to+coronavirus"
1958,international travel ban - risk countries,,2020-09-03,"all travelers arriving from UAE, Kuwait, Bahrain, Lebanon, Egypt, Syria, Iraq, Italy, Korea are banned from entry",,Saudi Arabia,"Saudi Airline (Government, https://www.saudia.com/experience/about-us/corporate-communication/press-releases-and-news/announcement/updates+due+to+coronavirus"
1960,international travel ban - risk countries,,2020-07-03,"all travelers arriving from  Italy, South Korea, Japan, Azerbaijan are banned from entry",,Saudi Arabia,"Saudi Airline (Government, https://www.saudia.com/experience/about-us/corporate-communication/press-releases-and-news/announcement/updates+due+to+coronavirus"
1961,international traveller screening - risk countries,,2020-07-03,all arriving passengers from Egypt have to proof they have done a medical examination confiming to infection with COVID-19 by a laboratory approved by the Saudi embassy in Carior. Saudi nationals are exempt,,Saudi Arabia,"Saudi Airline (Government, https://www.saudia.com/experience/about-us/corporate-communication/press-releases-and-news/announcement/updates+due+to+coronavirus"
1962,international travel ban - risk countries,,2020-07-03,"passengers arriving from airports in UAE, Bahrain, Kuwait can only entre through King Khalid International Airport, King Abdulaziz International Airport, King Fahad International Airport",,Saudi Arabia,
1963,international travel ban - risk countries,,2020-03-27,suspension of entry permission for travelers arriving for purpose of Umrah and visiting the Prophet´s Mosque,,Saudi Arabia,"Saudi Airline (Government, https://www.saudia.com/experience/about-us/corporate-communication/press-releases-and-news/announcement/updates+due+to+coronavirus"
1964,international travel ban - risk countries,,2020-03-27,"passengers arriving from China, Taiwan, Hongkong, Macao, Iran are not permitted to enter",,Saudi Arabia,"Saudi Airline (Government, https://www.saudia.com/experience/about-us/corporate-communication/press-releases-and-news/announcement/updates+due+to+coronavirus"
1965,international travel ban - risk countries,,2020-03-27,"suspension of touristvisa for passengers arriving from China, Taiwan, Hong Kong, Macao, Iran, Italy, South Korea, Japan, Thailand, Malaysia, Indonesia, Pakistan, Afghanistan, Iraq, Philippines,Singapor, India, Lebanon, Syria, Yemen, Azerbaijan, Kazakkhstan, Uzbekistan, Somalia, Vietnam",,Saudi Arabia,"Saudi Airline (Government, https://www.saudia.com/experience/about-us/corporate-communication/press-releases-and-news/announcement/updates+due+to+coronavirus"
1966,international travel ban - risk countries,,2020-07-03,"border closure between Saudi Arabia and Bahrain, UAE, and Kuwait (land borders with Qatar have been closed since 2017 already) for non-commercial traffic; air travel with these countries is restricted to international airports in Riyadh, Jeddah, and Dhahran",,Saudi Arabia,"US Embassy (Government, https://sa.usembassy.gov/health-alert/"
1968,international travel ban - risk countries,,2020-03-27,entry to Mecca and Medina of citizens from Gulf Cooperation Council countries is banned,,Saudi Arabia,"Reuters (Media, https://www.reuters.com/article/us-health-china-saudi-idUSKCN20M31T"
1971,limited nonessential business closure,,2020-03-16,"non essentials suspended including gatherings in parks, beaches, etc. ",,Saudi Arabia,"US Embassy of Saudi Arabia (Government, https://sa.usembassy.gov/u-s-citizen-services/covid-19-information/"
1972,limited nonessential business closure,,2020-03-21,"All domestic flights, bus, taxi, and train transportation are suspended for two weeks *citizens NOT EXEMPT *exempt: humanitarian assistance, medical evacuation aircrafts as well as private flights",,Saudi Arabia,"US Embassy of Saudi Arabia (Government, https://sa.usembassy.gov/u-s-citizen-services/covid-19-information/"
1974,international travel ban - risk countries,,2020-03-21,All land crossings remain restricted to commercial trucks only.,,Saudi Arabia,"US Embassy of Saudi Arabia (Government, https://sa.usembassy.gov/u-s-citizen-services/covid-19-information/"
1975,blanket curfew - no symptoms,,2020-03-23,"21 days. A night curfew between 19.00 and 06.00 will be imposed for 21 days starting from 23 March. BUT curfew will begin at 15.00 instead of 19.00 in the three cities of Riyadh, Mecca and Medina. **exceptions: apply to those in vital public and private sectors such as security, military and media. Those who work in health services are also excluded from the curfew.",,Saudi Arabia,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS"
1976,blanket curfew - no symptoms,,2020-03-25,"lockdown in Makkah, Madinah and Riyadh – no residents are allowed to enter or leave these cities – with immediate effect from 25 March; as well as a lockdown on circulation between the kingdom’s 13 regions",,Saudi Arabia,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS"
1977,"domestic travel limitation, domestic traveller quarantine, domestic travel ban",,2020-03-26,travel between regions of Saudi Arabia is prohibited.,,Saudi Arabia,"US Embassy  (Government, https://sa.usembassy.gov/u-s-citizen-services/covid-19-information/"
1980,coronavirus education activities,,2020-03-14,Calls on religious authorities to support the Government with the adopted measures,,Senegal,"Ministère de la santé et de l'Action Sociale (Government, http://www.sante.gouv.sn/Actualites/covid-19-les-decisions-de-son-execellence-monsieur-macky-sall-president-de-la-republique"
1982,international travel ban - risk countries,,2020-03-15,only citizens are permitted to enter,,Serbia,"Government (Government, https://www.srbija.gov.rs/vest/en/151410/serbia-closes-borders-due-to-coronavirus.php"
1983,international travel ban - risk countries,,2020-03-15,closure of all borders,,Serbia,"Government (Government, https://www.srbija.gov.rs/vest/en/151410/serbia-closes-borders-due-to-coronavirus.php"
1984,state of emergency,,2020-03-15,declaration of state of emergency on 15 March,,Serbia,"Government (Government, https://www.srbija.gov.rs/vest/en/151398/state-of-emergency-declared-throughout-serbia.php"
1990,risk communication,,2020-01-29,General recommendations for social distancing and hygienic practices. ,,Seychelles,"Seychelles DFA and MoH (Government, http://www.mfa.gov.sc/static.php?content_id=36&news_id=1962"
1992,risk communication,,2020-07-02,"No formal bans at this point; mainly advisory warnings for foreign workers, airlines, etc. Additional recommendations from the Public Health Authority of hygienic practices to follow. ",,Seychelles,"Seychelles DFA (Government, http://www.mfa.gov.sc/static.php?content_id=36&news_id=1970"
1993,international travel ban - risk countries,,2020-07-02,"Any person arriving in Seychelles by sea (except returning Seychellois nationals and residents) will not be allowed to disembark if he/she has been to China, including the SAR in the last 14 days.",,Seychelles,"Seychelles DFA (Government, http://www.mfa.gov.sc/static.php?content_id=36&news_id=1970"
1995,international traveller screening - risk countries,,2020-07-02,Standard,,Seychelles,"Seychelles DFA (Government, http://www.mfa.gov.sc/static.php?content_id=36&news_id=1970"
1997,coronavirus education activities,,2020-07-02,They are using social media and broadcast media to disseminate information and dispel rumors and misinformation. ,,Seychelles,"Seychelles DFA (Government, http://www.mfa.gov.sc/static.php?content_id=36&news_id=1970"
2001,international travel ban - risk countries,,2020-10-03,"All airlines with inbound flights for Seychelles are directed not to board any passengers or crew (except returning Seychellois citizens) who have been to China (including the SAR), South Korea, Italy and Iran in the last 14 days. Any person arriving in Seychelles by sea (except returning Seychellois citizens) will not be allowed to disembark if he/she has been to China, (including the SAR), South Korea, Italy and Iran and places where there has been extensive local transmission in the last 14 days. As of 10th March 2020, all cruise ships will not be allowed entry into Seychelles waters until further notice. All foreign workers who are presently in China, South Korea, Italy and Iran and places where there has been extensive local transmission and were planning to return to Seychelles are directed to postpone their return travel until further notice. ",,Seychelles,"Seychelles DFA (Government, http://www.mfa.gov.sc/static.php?content_id=36&news_id=2006"
2002,international traveller screening - risk countries,,2020-10-03,All arriving passengers may be subjected to additional health screening upon arrival. (No longer limited to only those from mentioned areas.) ,,Seychelles,"Seychelles DFA (Government, http://www.mfa.gov.sc/static.php?content_id=36&news_id=2006"
2003,coronavirus education activities,,2020-12-03,Awareness campaign against false news from coronatracker.com . Informing the public that there are no confirmed cases of COVID-19 yet in Seychelles. ,,Seychelles,"Seychelles DFA (Government, http://www.mfa.gov.sc/static.php?content_id=36&news_id=2007"
2007,international travel ban - risk countries,,2020-03-16,Former travel restrictions expanded to now include Spain and additionally close Seychelles waters to any marine vessels if passengers or crew have been to endemic areas.,,Seychelles,"DFA (Government, http://www.mfa.gov.sc/static.php?content_id=36&news_id=2010"
2008,international travel ban - risk countries,,2020-03-18,"Expanding travel restrictions to include ANY country in Europe including the United Kingdom, Switzerland and the French Departments of Reunion and Mayotte. No one is allowed to go there, and no one is allowed from there. ",,Seychelles,"DFA (Government, http://www.mfa.gov.sc/static.php?content_id=36&news_id=2013"
2011,"domestic travel limitation, domestic traveller quarantine, domestic travel ban",,2020-03-23,"All Seychelles citizens and residents are banned from travelling abroad, effective as of Monday 23rd March 2020, for a period of 30 days. Expanding travel restrictions to include passengers from the United States and Australia. No one is allowed to go there, and no one is allowed from there.",,Seychelles,"DFA (Government, http://www.mfa.gov.sc/static.php?content_id=36&news_id=2021"
2012,international travel ban - risk countries,,2020-03-22,Foreign workers holding a GOP are not allowed to return until further notice. ,,Seychelles,"DFA (Government, http://www.mfa.gov.sc/static.php?content_id=36&news_id=2021"
2014,international traveller screening - risk countries,,2020-03-22,"All arriving passengers may be subjected to quarantine. Prior, it was all arriving passengers may be subjected to health screenings; now, ALL passengers are subjected to health screenings. ",,Seychelles,"DFA (Government, http://www.mfa.gov.sc/static.php?content_id=36&news_id=2021"
2018,international traveller screening - risk countries,,2020-02-19,,,Sierra Leone,"Ministry of Foreign Affairs - France (Government, https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/sierra-leone/"
2021,risk communication,,2020-03-16,Discouraged individuals from countries with 200 or more confirmed cases of COVID-19 from traveling to Sierra Leone during this critical period.,,Sierra Leone,"WHO Africa (UN, https://www.afro.who.int/news/sierra-leone-institutes-additional-covid-19-preparedness-and-response-measures"
2022,military takeover,,2020-03-16,Military is directed to immediately deploy to the international airport and land crossing points in order to enhance security and support compliance with all public health directives advisories.,,Sierra Leone,"Africa News (Media, https://www.africanews.com/2020/03/19/virus-free-sierra-leone-records-covid-19-scuffles-over-quarantine-at-airport//"
2025,risk communication,,2020-03-16,"Sierre Leone urges the general public to “refrain, as far as possible, from overseas travel until further notice”",,Sierra Leone,"WHO Africa (UN, https://www.afro.who.int/news/sierra-leone-institutes-additional-covid-19-preparedness-and-response-measures"
2026,international travel ban - risk countries,,2020-12-03,,,Slovakia,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS"
2028,state of emergency,,2020-12-03,State of emergency declared,,Slovakia,"U.K. Government travel advice (Government, https://www.gov.uk/foreign-travel-advice/slovakia/coronavirus"
2031,limited nonessential business closure,,2020-12-03,"Restrictions apply to all public, social, sporting and cultural activity. All tourist and leisure sites, including ski resorts, spas and museums are closed. Many restaurants and hotels and all bars and nightclubs are closed. ",,Slovakia,"U.K. Government travel advice (Government, https://www.gov.uk/foreign-travel-advice/slovakia/coronavirus"
2034,hospital specialisation - partial,,2020-03-24,Assign three hospitals across the country specifically to deal with COVID; postponing of preventative health services and interventions,,Slovakia,"Ministry of Health (Government, https://www.health.gov.sk/Clanok?covid-19-24-3-2020-opatrenia"
2035,military takeover,,2020-03-24,Police and military deployed at healthcare facilities were problems arise ,,Slovakia,"Ministry of Health (Government, https://www.health.gov.sk/Clanok?covid-19-24-3-2020-opatrenia"
2036,limited nonessential business closure,,2020-03-24,Day care centres are closed; limitations to visits in hospitals are implemented,,Slovakia,"Ministry of Health (Government, https://www.health.gov.sk/Clanok?covid-19-24-3-2020-opatrenia"
2038,hospital specialisation - partial,,2020-03-24,The testing capacities are being strengthened through the addition of new laboratory centres,,Slovakia,"Ministry of Health (Government, https://www.health.gov.sk/Clanok?koronavirus-laboratoria-rozsirenie"
2039,international travel ban - risk countries,,2020-02-03,"Travellers from Austria, Bahrain, Belgium, China, Denmark, France, Germany, Greece, Hong Kong, Indonesia, Iran, Iraq, Israel, Italy, Japan, Kuwait, Macau, Malaysia, Netherlands, Norway, Qatar, Singapore, South Korea, Spain, Sweden, Switzerland, Taiwan and Thailand in the past 14 days.",,Solomon Islands,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#ITA"
2040,international traveller screening - risk countries,,2020-02-03,People from countries with cases,,Solomon Islands,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#ITA"
2042,international travel ban - risk countries,,2020-03-20,90 day ban on all cruise ships and private yachts.,,Solomon Islands,"RNZ (Media, https://www.rnz.co.nz/international/pacific-news/412217/coronavirus-how-the-pacific-is-responding"
2047,economic stimulus,,2020-03-20,Prioritising Government Expenditure – All permanent secretaries are now reviewing and re-prioritising their respective ministry budgets in anticipation of budget pressures due to the Corona Virus.,,Solomon Islands,"Solomon Times (Media, https://www.solomontimes.com/news/government-implements-measures-to-protect-citizens/9636"
2048,hospital specialisation - partial,,2020-03-20,Establishing Capability to test Corona Virus at the NRH – The government is moving ahead to procure and set up local capability to test Corona Virus at the NRH dengue laboratory within the next few weeks.,,Solomon Islands,"Solomon Times (Media, https://www.solomontimes.com/news/government-implements-measures-to-protect-citizens/9636"
2050,international travel ban - risk countries,,2020-03-20,All traditional and non-traditional Border travelers using the Solomon Islands – PNG border are advised this border crossing will be closed effective Friday 20 March 2020. PNG has already closed their side effective today.,,Solomon Islands,"Solomon Times (Media, https://www.solomontimes.com/news/government-implements-measures-to-protect-citizens/9636"
2051,international travel ban - risk countries,,2020-03-22,Border closed to non-citizens,,Solomon Islands,"RNZ (Media, https://www.rnz.co.nz/news/pacific/412357/coronavirus-png-announces-lockdown-solomons-closes-border-to-non-citizens"
2052,economic stimulus,,2020-03-22,The government implementing price control measures for basic goods and essential services ,,Solomon Islands,"RNZ (Media, https://www.rnz.co.nz/news/pacific/412357/coronavirus-png-announces-lockdown-solomons-closes-border-to-non-citizens"
2053,international travel ban - risk countries,,2020-03-22,"International restrictions: Travellers who have been to the following countries in the past 14 days are banned from entry: Austria, Bahrain, Belgium, China, Denmark, France, Germany, Greece, Hong Kong, Indonesia, Iran, Iraq, Israel, Italy, Japan, Kuwait, Macau, Malaysia, Netherlands, Norway, Qatar, Singapore, South Korea, Spain, Sweden, Switzerland, Taiwan and Thailand.  Travellers who are transiting through Fiji, Kiribati, Nauru, Papua New Guinea or Vanuatu will not be permitted entry unless they have evidence they have not travelled from/transited through an affected country within 14 days prior to arrival. However, if travellers have been to or transited through China in the previous 14 days, entry will be denied upon arrival. Travellers may be allowed to enter from other countries where coronavirus cases have been confirmed (including Australia), provided they have not travelled through the countries listed above. Entry will be granted for travellers on direct flights from Brisbane. Travellers will still be subjected to screening and possibly quarantine.",,Solomon Islands,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening"
2057,risk communication,,2020-12-03,General recommendation to all travelers from countries with Covid-19 cases to suspend travel to Somalia,,Somalia,"Ministry of Health (Government, http://moh.gov.so/en/newsPage.php?Id=39"
2058,international travel ban - risk countries,,2020-03-15,"All passengers originating from China, Iran, South Korea, and Italy or transiting through one of those countries for the last 14 days will not be allowed to enter the country.",,Somalia,"AA (Media, https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/covid-19-somalia-bans-entry-from-worst-hit-countries/1766837"
2064,international travel ban - risk countries,,2020-03-18,Authorities imposing travel ban on individuals entering South Africa from various countries affected including the United Kingdom,,South Africa,"South African Government (Government, https://www.gov.za/Coronavirus"
2066,international travel ban - risk countries,,2020-03-16,"Of the 53 land ports (also known as border stations) throughout South Africa, 35 will be shut down.",,South Africa,"SA Government (Government, https://www.gov.za/Coronavirus"
2068,limited nonessential business closure,,2020-03-20,All on- and off-consumption premises selling liquor must be closed between 6pm and 9am the next morning on weekdays and Saturdays; and from 1pm on Sundays and public holidays. They must also abide by 50 person gathering maximum rules. ,,South Africa,"SA Government (Government, https://www.sanews.gov.za/south-africa/covid-19-regulations-limit-alcohol-sale-hours"
2070,blanket curfew - no symptoms,,2020-03-27,All of South Africa will go into total lockdown from the midight 26th March until 16th of April . This means individuals will not be allowed to leave their homes except for strict reasons (aside from essential workers in the response).,,South Africa,"President press conference (Government, https://www.youtube.com/watch?v=H94eg5gEDeE"
2071,limited nonessential business closure,,2020-03-27,All non-essential businesses will be closed. ,,South Africa,"President press conference (Government, https://www.youtube.com/watch?v=H94eg5gEDeE"
2072,military takeover,,2020-03-27,The military will be deployed to ensure that people abide by the regulations. ,,South Africa,"President press conference (Government, https://www.youtube.com/watch?v=H94eg5gEDeE"
2074,international travel ban - risk countries,,2020-03-27,Those travelling from high risk countries from henceforth will be turned back. ,,South Africa,"President press conference (Government, https://www.youtube.com/watch?v=H94eg5gEDeE"
2075,economic stimulus,,2020-03-27,Regulations put in place to prohibit unjust price rises.,,South Africa,"President press conference (Government, https://www.youtube.com/watch?v=H94eg5gEDeE"
2078,economic stimulus,,2020-03-27,Any employee who falls ill through exposure at their workplace will be paid through the Compensation Fund.,,South Africa,"CBNC Africa (Media, https://www.cnbcafrica.com/news/2020/03/23/breaking-nationwide-lockdown-announced-in-south-africa/"
2079,international traveller screening - risk countries,,2020-03-24,Tourist leaving the country will be subjected to testing at three major airports in SA.,,South Africa,"SA Travel Trade (Social media, https://twitter.com/SATravelTrade/status/1242409469444870144?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1242409469444870144&ref_url=https%3A%2F%2Fwww.capetown.travel%2Fcovid-19-what-travellers-in-cape-town-need-to-know%2F"
2082,international traveller screening - risk countries,,2020-02-20,,,South Sudan,"Eye Radio (Media, https://eyeradio.org/some-vips-avoid-coronavirus-screening-at-jia/"
2083,coronavirus education activities,,2020-03-15,Sanitation and hygiene recommendations,,South Sudan,"East African (Media, https://www.theeastafrican.co.ke/news/ea/South-Sudan-precautions-against-coronavirus/4552908-5491866-1258q0d/index.html"
2087,state of emergency,,2020-03-13,,,Spain,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS"
